username,in_followers,in_following,profile_url
35c414nt3,False,True,https://www.instagram.com/_u/35c414nt3
3dpotter,True,True,https://www.instagram.com/3dpotter
__cin_diii,True,False,https://www.instagram.com/__cin_diii
__w_3_n__,True,False,https://www.instagram.com/__w_3_n__
_hila_mor,True,True,https://www.instagram.com/_hila_mor
_lemusa_perso,True,False,https://www.instagram.com/_lemusa_perso
_pk_ceramics,False,True,https://www.instagram.com/_u/_pk_ceramics
_ramya.iyer,True,False,https://www.instagram.com/_ramya.iyer
_saurabhmhatre_,False,True,https://www.instagram.com/_u/_saurabhmhatre_
_sha___sha_,False,True,https://www.instagram.com/_u/_sha___sha_
a13adrian_madlener,False,True,https://www.instagram.com/_u/a13adrian_madlener
aaadazhao,True,False,https://www.instagram.com/aaadazhao
aboveboardceramics,False,True,https://www.instagram.com/_u/aboveboardceramics
acadiaorg,False,True,https://www.instagram.com/_u/acadiaorg
acm_chi,False,True,https://www.instagram.com/_u/acm_chi
acm_dis,False,True,https://www.instagram.com/_u/acm_dis
acm_iui,True,False,https://www.instagram.com/acm_iui
acmsiggraph,False,True,https://www.instagram.com/_u/acmsiggraph
adamuseum,False,True,https://www.instagram.com/_u/adamuseum
addisonwoolsey,False,True,https://www.instagram.com/_u/addisonwoolsey
adwait_sharma,True,False,https://www.instagram.com/adwait_sharma
afrdt,False,True,https://www.instagram.com/_u/afrdt
agriffinkingm,True,False,https://www.instagram.com/agriffinkingm
aha_medialab,True,True,https://www.instagram.com/aha_medialab
ai_build,False,True,https://www.instagram.com/_u/ai_build
alanmacy,False,True,https://www.instagram.com/_u/alanmacy
alexis_hope,False,True,https://www.instagram.com/_u/alexis_hope
alexrooted,False,True,https://www.instagram.com/_u/alexrooted
alien90291,False,True,https://www.instagram.com/_u/alien90291
almaallen,False,True,https://www.instagram.com/_u/almaallen
altar.archives,False,True,https://www.instagram.com/_u/altar.archives
alyshiabustos,False,True,https://www.instagram.com/_u/alyshiabustos
amandaghassaei,False,True,https://www.instagram.com/_u/amandaghassaei
amedina.co,True,False,https://www.instagram.com/amedina.co
americanart,False,True,https://www.instagram.com/_u/americanart
amyrtraylor,True,True,https://www.instagram.com/amyrtraylor
ana.gfo.henriques,True,False,https://www.instagram.com/ana.gfo.henriques
anacaribu,True,False,https://www.instagram.com/anacaribu
anagharamesh.design,True,False,https://www.instagram.com/anagharamesh.design
anahenton,True,False,https://www.instagram.com/anahenton
anatolaaraba,True,True,https://www.instagram.com/anatolaaraba
ancient__futures,False,True,https://www.instagram.com/_u/ancient__futures
andersonranchartscenter,False,True,https://www.instagram.com/_u/andersonranchartscenter
andyrahman.architect,False,True,https://www.instagram.com/_u/andyrahman.architect
annaleehanson.art,True,False,https://www.instagram.com/annaleehanson.art
anuzk,False,True,https://www.instagram.com/_u/anuzk
aokitakefumi,False,True,https://www.instagram.com/_u/aokitakefumi
aparnatheone,True,False,https://www.instagram.com/aparnatheone
apricot_k,False,True,https://www.instagram.com/_u/apricot_k
archie_bray,False,True,https://www.instagram.com/_u/archie_bray
arselectronica,False,True,https://www.instagram.com/_u/arselectronica
art_science_lab,False,True,https://www.instagram.com/_u/art_science_lab
artbychidi,True,False,https://www.instagram.com/artbychidi
artdept_ucsb,False,True,https://www.instagram.com/_u/artdept_ucsb
artenda,False,True,https://www.instagram.com/_u/artenda
artesanaltecnologica,False,True,https://www.instagram.com/_u/artesanaltecnologica
artsandlectures,False,True,https://www.instagram.com/_u/artsandlectures
ashley.del.valle,False,True,https://www.instagram.com/_u/ashley.del.valle
atsp.saic,False,True,https://www.instagram.com/_u/atsp.saic
avi.farber.studio,False,True,https://www.instagram.com/_u/avi.farber.studio
avitalix,True,True,https://www.instagram.com/avitalix
awmas.ucsb,False,True,https://www.instagram.com/_u/awmas.ucsb
axlab_uchicago,False,True,https://www.instagram.com/_u/axlab_uchicago
babelkat,True,False,https://www.instagram.com/babelkat
benchsideucsb,False,True,https://www.instagram.com/_u/benchsideucsb
bestillbestillbe,True,False,https://www.instagram.com/bestillbestillbe
bethjferguson,True,False,https://www.instagram.com/bethjferguson
betsahoushmand,True,False,https://www.instagram.com/betsahoushmand
bettiemakesstuff,False,True,https://www.instagram.com/_u/bettiemakesstuff
bielzabub,False,True,https://www.instagram.com/_u/bielzabub
billdepper,True,False,https://www.instagram.com/billdepper
billtjonesarniezaneco,False,True,https://www.instagram.com/_u/billtjonesarniezaneco
biofuturism,False,True,https://www.instagram.com/_u/biofuturism
biologicblackboxstudios,True,False,https://www.instagram.com/biologicblackboxstudios
biomatters.llc,False,True,https://www.instagram.com/_u/biomatters.llc
biopacificmip,False,True,https://www.instagram.com/_u/biopacificmip
blackstudiesucsb,False,True,https://www.instagram.com/_u/blackstudiesucsb
blairsubbaraman,False,True,https://www.instagram.com/_u/blairsubbaraman
bleeptrack,False,True,https://www.instagram.com/_u/bleeptrack
blue_spruce_white_pine,True,False,https://www.instagram.com/blue_spruce_white_pine
boggsbench,False,True,https://www.instagram.com/_u/boggsbench
bold_designers,False,True,https://www.instagram.com/_u/bold_designers
bookhou,False,True,https://www.instagram.com/_u/bookhou
bpjacobs09,False,True,https://www.instagram.com/_u/bpjacobs09
brandeaux,True,True,https://www.instagram.com/brandeaux
brian.peters.studio,False,True,https://www.instagram.com/_u/brian.peters.studio
brian_cyan,True,False,https://www.instagram.com/brian_cyan
brunagoveia,True,True,https://www.instagram.com/brunagoveia
burzredion,True,False,https://www.instagram.com/burzredion
byadelinewang,False,True,https://www.instagram.com/_u/byadelinewang
byleejones,False,True,https://www.instagram.com/_u/byleejones
c0d3mak3r,False,True,https://www.instagram.com/_u/c0d3mak3r
c_tenenholtz_ceramics,False,True,https://www.instagram.com/_u/c_tenenholtz_ceramics
ca53776v2.gallery,False,True,https://www.instagram.com/_u/ca53776v2.gallery
calarts,False,True,https://www.instagram.com/_u/calarts
calarts.atek,False,True,https://www.instagram.com/_u/calarts.atek
camilafgceramics,False,True,https://www.instagram.com/_u/camilafgceramics
camilleutterback,False,True,https://www.instagram.com/_u/camilleutterback
carseywolfucsb,False,True,https://www.instagram.com/_u/carseywolfucsb
caspianmakers,True,True,https://www.instagram.com/caspianmakers
cba.mit,False,True,https://www.instagram.com/_u/cba.mit
ccs_artgallery,False,True,https://www.instagram.com/_u/ccs_artgallery
cdecoders,False,True,https://www.instagram.com/_u/cdecoders
ceramicsnow,False,True,https://www.instagram.com/_u/ceramicsnow
cerfplus,False,True,https://www.instagram.com/_u/cerfplus
charliewhiskeytango,False,True,https://www.instagram.com/_u/charliewhiskeytango
cheewee2000,False,True,https://www.instagram.com/_u/cheewee2000
christinedierk,False,True,https://www.instagram.com/_u/christinedierk
christopherferris_,False,True,https://www.instagram.com/_u/christopherferris_
cid.innovationalliance,False,True,https://www.instagram.com/_u/cid.innovationalliance
citationneeded.co,True,False,https://www.instagram.com/citationneeded.co
clararigo_,True,False,https://www.instagram.com/clararigo_
claudwain,False,True,https://www.instagram.com/_u/claudwain
claybottress,False,True,https://www.instagram.com/_u/claybottress
clement.zheng,False,True,https://www.instagram.com/_u/clement.zheng
clinic_os_arts,False,True,https://www.instagram.com/_u/clinic_os_arts
cmuhcii,False,True,https://www.instagram.com/_u/cmuhcii
cnsi_ucsb,False,True,https://www.instagram.com/_u/cnsi_ucsb
codedmatterlab,False,True,https://www.instagram.com/_u/codedmatterlab
codex.futurae,False,True,https://www.instagram.com/_u/codex.futurae
coloramaclubhouse,False,True,https://www.instagram.com/_u/coloramaclubhouse
computingresearch,False,True,https://www.instagram.com/_u/computingresearch
corinnebeardsley,True,False,https://www.instagram.com/corinnebeardsley
coupeceramics,False,True,https://www.instagram.com/_u/coupeceramics
cpp_arc,False,True,https://www.instagram.com/_u/cpp_arc
craftsmagazine,False,True,https://www.instagram.com/_u/craftsmagazine
craftwork_collective,False,True,https://www.instagram.com/_u/craftwork_collective
creativecodeart,False,True,https://www.instagram.com/_u/creativecodeart
creechoftheeast,False,True,https://www.instagram.com/_u/creechoftheeast
cristinabrorrr,True,False,https://www.instagram.com/cristinabrorrr
criticalmattergroup,False,True,https://www.instagram.com/_u/criticalmattergroup
cu_atlas,False,True,https://www.instagram.com/_u/cu_atlas
currentsnewmedia,False,True,https://www.instagram.com/_u/currentsnewmedia
dallaslacassa,False,True,https://www.instagram.com/_u/dallaslacassa
dan1i_luo,True,False,https://www.instagram.com/dan1i_luo
daniel_de_bruin,False,True,https://www.instagram.com/_u/daniel_de_bruin
danielleithinger,False,True,https://www.instagram.com/_u/danielleithinger
danikwan,False,True,https://www.instagram.com/_u/danikwan
danny.leen,False,True,https://www.instagram.com/_u/danny.leen
danyang.art,False,True,https://www.instagram.com/_u/danyang.art
davebeesbombs,False,True,https://www.instagram.com/_u/davebeesbombs
david.gordon.82,True,False,https://www.instagram.com/david.gordon.82
davnasca,True,False,https://www.instagram.com/davnasca
deannagelosi,False,True,https://www.instagram.com/_u/deannagelosi
dear_hyunjoo.oh,False,True,https://www.instagram.com/_u/dear_hyunjoo.oh
debra_ollin,True,True,https://www.instagram.com/debra_ollin
deejay_tekton,False,True,https://www.instagram.com/_u/deejay_tekton
devnfrost,False,True,https://www.instagram.com/_u/devnfrost
dhoresh1,False,True,https://www.instagram.com/_u/dhoresh1
digitalcoleman,False,True,https://www.instagram.com/_u/digitalcoleman
digitalfutures.world,False,True,https://www.instagram.com/_u/digitalfutures.world
dinorahmschulte,False,True,https://www.instagram.com/_u/dinorahmschulte
dinosaurparty,True,False,https://www.instagram.com/dinosaurparty
ditte_lindberg_mortensen,False,True,https://www.instagram.com/_u/ditte_lindberg_mortensen
drwngdrwng,False,True,https://www.instagram.com/_u/drwngdrwng
earlyamericanrobotpottery,False,True,https://www.instagram.com/_u/earlyamericanrobotpottery
edp_denver,False,True,https://www.instagram.com/_u/edp_denver
eduardo42400,True,False,https://www.instagram.com/eduardo42400
ee_teetee_ay,False,True,https://www.instagram.com/_u/ee_teetee_ay
el.miezal_atelier,True,False,https://www.instagram.com/el.miezal_atelier
elan_chardin,True,False,https://www.instagram.com/elan_chardin
electro_microbes,True,False,https://www.instagram.com/electro_microbes
electronictextilecamp,False,True,https://www.instagram.com/_u/electronictextilecamp
elektramontreal,False,True,https://www.instagram.com/_u/elektramontreal
elenialexi,True,False,https://www.instagram.com/elenialexi
elisabethnybo,True,False,https://www.instagram.com/elisabethnybo
eliza_au,False,True,https://www.instagram.com/_u/eliza_au
ellieanthony.world,True,False,https://www.instagram.com/ellieanthony.world
emilybrownceramics,False,True,https://www.instagram.com/_u/emilybrownceramics
emmanuelhugnot,False,True,https://www.instagram.com/_u/emmanuelhugnot
emmet0r,False,True,https://www.instagram.com/_u/emmet0r
emxtyu,False,True,https://www.instagram.com/_u/emxtyu
engartst,False,True,https://www.instagram.com/_u/engartst
entangledecologieslab,True,True,https://www.instagram.com/entangledecologieslab
equal_water,True,False,https://www.instagram.com/equal_water
erinlinseyhunt,False,True,https://www.instagram.com/_u/erinlinseyhunt
errrrrrrrrrrrrrrrrrrrrre,False,True,https://www.instagram.com/_u/errrrrrrrrrrrrrrrrrrrrre
eunhapaek,False,True,https://www.instagram.com/_u/eunhapaek
extendedexperiences,True,False,https://www.instagram.com/extendedexperiences
fabricateconference,False,True,https://www.instagram.com/_u/fabricateconference
fallon_navarro,False,True,https://www.instagram.com/_u/fallon_navarro
farwest1138,False,True,https://www.instagram.com/_u/farwest1138
fatihaslann,False,True,https://www.instagram.com/_u/fatihaslann
fax_studio_1979,True,False,https://www.instagram.com/fax_studio_1979
femmesdesigners,False,True,https://www.instagram.com/_u/femmesdesigners
fionaabell,False,True,https://www.instagram.com/_u/fionaabell
firestickpottery,False,True,https://www.instagram.com/_u/firestickpottery
forestceramicco,False,True,https://www.instagram.com/_u/forestceramicco
formaj,False,True,https://www.instagram.com/_u/formaj
friendshipstation.pottery,True,True,https://www.instagram.com/friendshipstation.pottery
friendswithclay,False,True,https://www.instagram.com/_u/friendswithclay
gangavarapulavanya,True,False,https://www.instagram.com/gangavarapulavanya
geomoon_ceramics,True,False,https://www.instagram.com/geomoon_ceramics
georgelegrady,False,True,https://www.instagram.com/_u/georgelegrady
germainedunes,True,False,https://www.instagram.com/germainedunes
gharbill,False,True,https://www.instagram.com/_u/gharbill
ghorn1,True,False,https://www.instagram.com/ghorn1
glazemancometh,False,True,https://www.instagram.com/_u/glazemancometh
glenn_adamson,False,True,https://www.instagram.com/_u/glenn_adamson
globaleyeshop,False,True,https://www.instagram.com/_u/globaleyeshop
golanlevin,False,True,https://www.instagram.com/_u/golanlevin
goonieb1,True,False,https://www.instagram.com/goonieb1
gracielaiolio,True,False,https://www.instagram.com/gracielaiolio
grayareaorg,False,True,https://www.instagram.com/_u/grayareaorg
grdn.la,False,True,https://www.instagram.com/_u/grdn.la
gregg_rasmusson_ceramics,False,True,https://www.instagram.com/_u/gregg_rasmusson_ceramics
grymsdykefarm,False,True,https://www.instagram.com/_u/grymsdykefarm
guerrillagirls,False,True,https://www.instagram.com/_u/guerrillagirls
guradisu.c,True,False,https://www.instagram.com/guradisu.c
gustavo.alfonso.rincon,False,True,https://www.instagram.com/_u/gustavo.alfonso.rincon
haggertyceramics,False,True,https://www.instagram.com/_u/haggertyceramics
hakkespettendesign,False,True,https://www.instagram.com/_u/hakkespettendesign
hamish.jackson.pottery,False,True,https://www.instagram.com/_u/hamish.jackson.pottery
handandmachine,False,True,https://www.instagram.com/_u/handandmachine
hannahvainstein,True,False,https://www.instagram.com/hannahvainstein
harriet.blend,False,True,https://www.instagram.com/_u/harriet.blend
haystack_school,True,True,https://www.instagram.com/haystack_school
hci_cy,False,True,https://www.instagram.com/_u/hci_cy
hciexplained,True,False,https://www.instagram.com/hciexplained
hello_cmello,True,False,https://www.instagram.com/hello_cmello
hibaali.info,True,False,https://www.instagram.com/hibaali.info
highonstrokes,True,False,https://www.instagram.com/highonstrokes
hikari_burn,False,True,https://www.instagram.com/_u/hikari_burn
hilleloleary,True,False,https://www.instagram.com/hilleloleary
hollieleggett_,True,False,https://www.instagram.com/hollieleggett_
hudsonvalleypotterytour,False,True,https://www.instagram.com/_u/hudsonvalleypotterytour
huertanix,True,True,https://www.instagram.com/huertanix
hybridbodylab,False,True,https://www.instagram.com/_u/hybridbodylab
hye.yeon.nam,False,True,https://www.instagram.com/_u/hye.yeon.nam
hyunyoukim,True,False,https://www.instagram.com/hyunyoukim
iammsmathew,False,True,https://www.instagram.com/_u/iammsmathew
imjordanlawson,False,True,https://www.instagram.com/_u/imjordanlawson
inana_abdelli,False,True,https://www.instagram.com/_u/inana_abdelli
inneractivity,False,True,https://www.instagram.com/_u/inneractivity
instabramsjanet,True,False,https://www.instagram.com/instabramsjanet
interactive.materials,False,True,https://www.instagram.com/_u/interactive.materials
interspecifics,False,True,https://www.instagram.com/_u/interspecifics
introspect3a,True,False,https://www.instagram.com/introspect3a
ippodogallery,False,True,https://www.instagram.com/_u/ippodogallery
isabelarangurenstudio,True,False,https://www.instagram.com/isabelarangurenstudio
isaih_pottery,False,True,https://www.instagram.com/_u/isaih_pottery
isu_ccl,False,True,https://www.instagram.com/_u/isu_ccl
italoadler,True,False,https://www.instagram.com/italoadler
itcamefromthemetro,True,False,https://www.instagram.com/itcamefromthemetro
itp_nyu,False,True,https://www.instagram.com/_u/itp_nyu
jackieninajacobs,False,True,https://www.instagram.com/_u/jackieninajacobs
jackkilgore,False,True,https://www.instagram.com/_u/jackkilgore
janakilarsen,False,True,https://www.instagram.com/_u/janakilarsen
janwaterstondesign,False,True,https://www.instagram.com/_u/janwaterstondesign
jaredtsopottery,False,True,https://www.instagram.com/_u/jaredtsopottery
jas01261,False,True,https://www.instagram.com/_u/jas01261
jazergiles,False,True,https://www.instagram.com/_u/jazergiles
jdeboi,False,True,https://www.instagram.com/_u/jdeboi
jeannie_ig_,True,False,https://www.instagram.com/jeannie_ig_
jeff.suina.art,False,True,https://www.instagram.com/_u/jeff.suina.art
jeffsuina.art,False,True,https://www.instagram.com/_u/jeffsuina.art
jennisorkin,False,True,https://www.instagram.com/_u/jennisorkin
jenslabsbuilds,False,True,https://www.instagram.com/_u/jenslabsbuilds
jgl,False,True,https://www.instagram.com/_u/jgl
jgordon1173,True,False,https://www.instagram.com/jgordon1173
jifei_ou,False,True,https://www.instagram.com/_u/jifei_ou
jijiglamorous,True,False,https://www.instagram.com/jijiglamorous
jiwonhaam,True,True,https://www.instagram.com/jiwonhaam
jkeep_artpottery,False,True,https://www.instagram.com/_u/jkeep_artpottery
joelrbrandt,False,True,https://www.instagram.com/_u/joelrbrandt
joeywatson_makebelieve,False,True,https://www.instagram.com/_u/joeywatson_makebelieve
johnathanhopp,True,True,https://www.instagram.com/johnathanhopp
jolienope,False,True,https://www.instagram.com/_u/jolienope
josephduprestudios,True,False,https://www.instagram.com/josephduprestudios
juliatrudeaur,True,False,https://www.instagram.com/juliatrudeaur
kaithaler,False,True,https://www.instagram.com/_u/kaithaler
kaolintiger,False,True,https://www.instagram.com/_u/kaolintiger
katesaub,False,True,https://www.instagram.com/_u/katesaub
katieparker101,True,False,https://www.instagram.com/katieparker101
kellianderson,False,True,https://www.instagram.com/_u/kellianderson
kennakagaki,True,True,https://www.instagram.com/kennakagaki
kevinclancy.studio,False,True,https://www.instagram.com/_u/kevinclancy.studio
kfcito,False,True,https://www.instagram.com/_u/kfcito
kikaarte,True,False,https://www.instagram.com/kikaarte
kimsmithstudio,False,True,https://www.instagram.com/_u/kimsmithstudio
kjhollen,False,True,https://www.instagram.com/_u/kjhollen
knightfdn,False,True,https://www.instagram.com/_u/knightfdn
knit_to_code,False,True,https://www.instagram.com/_u/knit_to_code
kristin.osiecki,True,False,https://www.instagram.com/kristin.osiecki
laleh_mehran,False,True,https://www.instagram.com/_u/laleh_mehran
laurasplan,False,True,https://www.instagram.com/_u/laurasplan
lauren.ilsley,True,False,https://www.instagram.com/lauren.ilsley
ldevendorf,False,True,https://www.instagram.com/_u/ldevendorf
leahbuechley,False,True,https://www.instagram.com/_u/leahbuechley
learningbeautiful,False,True,https://www.instagram.com/_u/learningbeautiful
lee_myungin,False,True,https://www.instagram.com/_u/lee_myungin
leeborg_,True,True,https://www.instagram.com/leeborg_
leemintonceramics,False,True,https://www.instagram.com/_u/leemintonceramics
leonardoisast,False,True,https://www.instagram.com/_u/leonardoisast
liacole7,False,True,https://www.instagram.com/_u/liacole7
lifeatucsb,False,True,https://www.instagram.com/_u/lifeatucsb
lilly.805,False,True,https://www.instagram.com/_u/lilly.805
lindajanoshaggerty,False,True,https://www.instagram.com/_u/lindajanoshaggerty
liningyao,False,True,https://www.instagram.com/_u/liningyao
lipottery,False,True,https://www.instagram.com/_u/lipottery
lisa.lockman,False,True,https://www.instagram.com/_u/lisa.lockman
livingmatterlab,False,True,https://www.instagram.com/_u/livingmatterlab
